min=0 max=200 size=1000 seed=12
Interval Heap Built:
0,199
0,199
0,198
0,199
0,198
0,198
0,198
0,195
2,199
4,198
3,196
1,197
0,197
1,198
1,196
3,191
7,185
5,197
3,199
6,192
5,195
5,195
6,196
2,194
18,197
2,194
1,185
2,197
4,197
7,195
6,191
20,186
3,182
14,171
15,182
9,191
9,181
5,198
9,198
18,189
6,189
8,180
6,179
6,179
7,177
7,196
8,187
10,194
5,178
29,187
21,194
3,180
7,187
2,180
2,179
19,181
13,196
9,190
5,191
25,189
32,195
9,186
16,176
44,155
25,186
16,169
6,181
23,162
27,166
40,166
15,171
26,182
15,186
29,167
15,179
25,187
26,198
26,189
13,165
40,173
20,181
39,185
14,189
9,158
17,173
15,168
7,171
19,97
14,178
18,175
8,176
8,190
37,194
8,158
8,181
28,158
19,188
12,167
7,173
31,158
40,166
30,181
28,194
22,174
4,157
25,186
18,169
11,165
2,157
22,178
2,167
22,173
21,177
14,179
25,193
16,190
24,181
50,185
9,169
29,183
41,188
35,192
44,172
51,165
10,164
20,153
55,162
72,108
47,150
55,162
25,169
32,142
29,151
38,169
23,177
36,160
58,133
49,140
62,164
44,103
51,137
29,115
29,150
67,175
73,157
16,156
17,181
37,147
68,166
37,167
101,159
26,150
48,183
64,197
68,179
88,143
33,162
51,133
19,160
41,138
41,172
52,179
23,180
42,124
72,171
59,130
22,154
36,151
22,88
31,166
23,161
91,163
30,118
44,155
30,162
46,61
36,86
26,140
27,159
40,159
50,143
20,169
115,172
14,174
9,179
39,163
38,178
9,152
14,158
82,173
55,179
64,114
61,134
49,145
35,164
69,161
20,159
80,151
13,167
41,126
46,126
55,163
57,149
53,142
32,169
65,118
43,156
76,169
49,157
77,143
38,136
47,184
28,163
25,133
28,110
47,113
11,162
26,155
19,125
66,153
62,157
34,92
17,156
46,145
35,161
72,148
50,143
27,158
24,174
36,82
53,178
91,152
33,173
58,177
25,85
74,174
64,170
61,164
25,155
76,153
42,173
49,187
75,186
56,124
38,160
78,149
69,149
70,146
54,140
59,114
68,156
75,146
62,63
118,130
117,131
104,105
82,108
90,124
79,129
110,154
100,101
98,112
53,108
69,114
41,129
35,141
51,85
110,143
59,92
79,87
88,170
80,84
86,136
98,131
63,95
80,103
106,111
101,114
115,163
57,61
53,100
70,134
55,95
71,101
35,93
71,132
38,75
71,102
76,77
86,124
87,139
50,102
45,127
65,111
74,127
42,134
81,119
88,116
88,97
70,95
132,139
127,149
129,131
72,76
39,108
49,79
144,160
129,186
92,155
82,143
78,91
107,110
111,129
128,131
115,118
66,110
53,82
75,113
69,139
70,125
45,64
82,144
63,149
69,135
159,174
29,60
42,80
87,90
101,122
100,100
149,152
81,96
67,80
25,32
51,93
97,132
48,83
30,87
28,29
145,148
120,149
36,109
29,40
106,162
97,104
90,111
64,75
68,69
72,89
48,52
31,157
55,60
46,53
62,83
45,53
115,117
44,136
128,140
141,155
119,125
143,156
82,109
51,94
138,143
29,135
164,165
144,166
62,137
26,41
29,57
67,103
124,134
71,103
67,80
150,168
99,105
80,106
40,149
55,143
143,165
93,124
68,109
60,88
67,77
102,109
74,95
70,122
53,107
52,123
45,48
94,113
103,154
74,78
109,129
76,89
117,134
133,136
72,105
131,158
64,64
87,100
102,105
47,88
82,91
96,140
94,130
107,134
80,81
58,123
63,71
87,109
100,117
75,90
82,121
70,151
116,166
78,91
108,149
123,148
97,124
127,143
78,96
92,106
129,149
56,62
44,120
86,152
76,107
38,65
54,80
33,108
105,112
105,111
137,140
12,56
106,131
67,154
40,92
93,109
120,138
92,107
131,145
64,68
38,60
69,71
104,133
46,72
66,119
63,126
63,75
110,129
80,99
90,122
73,80
91,135
37,51
30,158
132,145
158,163
57,78
40,82
58,112
83,131
113,122
100,146
157,168
42,107
96,116
143,149
54,76
72,81
96,109
165,174
99,166
86,122
109,114
95,164
29,83
27,69
116,120
102,140
62,113
59,132
98,132
93,158
93,169
84,182
66,81
106,106
54,75
75,144
113,133
99,128
69,133
139,149
130,130
83,122
135,139
67,128
67,93
After deleting min element 0
After deleting max element 199
After deleting min element 0
After deleting max element 199
After deleting min element 0
After deleting max element 199
After deleting min element 0
After deleting max element 199
After deleting min element 0
After deleting max element 199
After deleting min element 0
After deleting max element 198
After deleting min element 0
After deleting max element 198
After deleting min element 0
After deleting max element 198
After deleting min element 0
After deleting max element 198
After deleting min element 1
After deleting max element 198
After deleting min element 1
After deleting max element 198
After deleting min element 1
After deleting max element 198
After deleting min element 1
After deleting max element 198
After deleting min element 2
After deleting max element 198
After deleting min element 2
After deleting max element 197
After deleting min element 2
After deleting max element 197
After deleting min element 2
After deleting max element 197
After deleting min element 2
After deleting max element 197
After deleting min element 2
After deleting max element 197
After deleting min element 2
After deleting max element 197
After deleting min element 2
After deleting max element 197
After deleting min element 3
After deleting max element 196
After deleting min element 3
After deleting max element 196
After deleting min element 3
After deleting max element 196
After deleting min element 3
After deleting max element 196
After deleting min element 3
After deleting max element 196
After deleting min element 4
After deleting max element 195
After deleting min element 4
After deleting max element 195
After deleting min element 4
After deleting max element 195
After deleting min element 5
After deleting max element 195
After deleting min element 5
After deleting max element 195
After deleting min element 5
After deleting max element 194
After deleting min element 5
After deleting max element 194
After deleting min element 5
After deleting max element 194
After deleting min element 5
After deleting max element 194
After deleting min element 6
After deleting max element 194
After deleting min element 6
After deleting max element 194
After deleting min element 6
After deleting max element 193
After deleting min element 6
After deleting max element 192
After deleting min element 6
After deleting max element 192
After deleting min element 6
